ClosestPair,5000,24918500,24,918500,12,24635,23172
ClosestPair,2,24100,0,024100,1,2,2
ClosestPair,4,135600,0,135600,2,17,8
ClosestPair,8,82100,0,082100,3,43,16
ClosestPair,10,68300,0,068300,3,63,18
ClosestPair,50,133700,0,133700,6,1356,117
ClosestPair,100,340500,0,340500,7,5256,275
ClosestPair,200,459100,0,459100,8,20543,584
ClosestPair,500,1444200,1,444200,9,126803,1973
ClosestPair,1000,2832500,2,832500,10,503727,4090
ClosestPair,2000,4209100,4,209100,11,2008184,8900
ClosestPair,3000,5991200,5,991200,11,13842,12628
ClosestPair,4000,24452000,24,452000,12,20068,19455
ClosestPair,5000,14603500,14,603500,12,25141,23586
ClosestPair,4,40000,0,040000,2,9,5
